SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
711636543,00504M00:00:06.541,0503 23:47:24,793.78,,1
711636544,00504M00:00:07.515,0503 23:47:25,793.81,,1
711636545,00504M00:00:08.488,0503 23:47:26,793.89,,1
711636546,00504M00:00:09.461,0503 23:47:27,793.82,,1
711636547,00504M00:00:10.434,0503 23:47:28,793.86,,1
711636548,00504M00:00:11.408,0503 23:47:29,793.86,,1
711636549,00504M00:00:12.381,0503 23:47:30,793.87,,1
711636550,00504M00:00:13.354,0503 23:47:31,793.83,,1
711636551,00504M00:00:14.327,0503 23:47:32,793.80,,1
711636552,00504M00:00:15.301,0503 23:47:33,793.80,,1
711636553,00504M00:00:16.274,0503 23:47:34,793.78,,1
711636554,00504M00:00:17.247,0503 23:47:35,793.84,,1
711636555,00504M00:00:18.220,0503 23:47:36,793.86,,1
711636556,00504M00:00:19.194,0503 23:47:36,793.80,,1
711636557,00504M00:00:20.167,0503 23:47:37,793.82,,1
711636558,00504M00:00:21.140,0503 23:47:38,793.82,,1
711636559,00504M00:00:22.113,0503 23:47:39,793.84,,1
711636560,00504M00:00:23.087,0503 23:47:40,793.80,,1
711636561,00504M00:00:24.060,0503 23:47:41,793.83,,1
711636562,00504M00:00:25.033,0503 23:47:42,793.85,,1
711636563,00504M00:00:26.006,0503 23:47:43,793.79,,1
711636564,00504M00:00:26.980,0503 23:47:44,793.81,,1
711636565,00504M00:00:27.953,0503 23:47:45,793.81,,1
711636566,00504M00:00:28.926,0503 23:47:46,793.83,,1
711636567,00504M00:00:29.899,0503 23:47:47,793.85,,1
711636568,00504M00:00:30.873,0503 23:47:48,793.79,,1
711636569,00504M00:00:31.846,0503 23:47:49,793.87,,1
711636570,00504M00:00:32.819,0503 23:47:50,793.85,,1
711636571,00504M00:00:33.792,0503 23:47:51,793.82,,1
711636572,00504M00:00:34.766,0503 23:47:52,793.80,,1
711636573,00504M00:00:35.739,0503 23:47:53,793.85,,1
711636574,00504M00:00:36.712,0503 23:47:54,793.82,,1
711636575,00504M00:00:37.685,0503 23:47:55,793.82,,1
711636576,00504M00:00:38.659,0503 23:47:56,793.85,,1
711636577,00504M00:00:39.632,0503 23:47:57,793.80,,1
711636578,00504M00:00:40.605,0503 23:47:58,793.78,,1
711636579,00504M00:00:41.578,0503 23:47:59,793.75,,1
711636580,00504M00:00:42.552,0503 23:48:00,793.82,,1
711636581,00504M00:00:43.525,0503 23:48:01,793.75,,1
711636582,00504M00:00:44.498,0503 23:48:02,793.77,,1
711636583,00504M00:00:45.471,0503 23:48:03,793.80,,1
711636584,00504M00:00:46.445,0503 23:48:04,793.77,,1
711636585,00504M00:00:47.418,0503 23:48:05,793.77,,1
711636586,00504M00:00:48.391,0503 23:48:06,793.79,,1
711636587,00504M00:00:49.364,0503 23:48:07,793.86,,1
711636588,00504M00:00:50.338,0503 23:48:08,793.84,,1
711636589,00504M00:00:51.311,0503 23:48:09,793.74,,1
711636590,00504M00:00:52.284,0503 23:48:10,793.77,,1
711636591,00504M00:00:53.257,0503 23:48:11,793.77,,1
711636592,00504M00:00:54.231,0503 23:48:12,793.74,,1
711636593,00504M00:00:55.204,0503 23:48:12,793.79,,1
711636594,00504M00:00:56.177,0503 23:48:13,793.75,,1
711636595,00504M00:00:57.150,0503 23:48:14,793.72,,1
711636596,00504M00:00:58.124,0503 23:48:15,793.81,,1
711636597,00504M00:00:59.097,0503 23:48:16,793.76,,1
