SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
725307817,00658M00:00:00.892,0657 23:18:39,734.86,,1
725307818,00658M00:00:01.865,0657 23:18:40,734.88,,1
725307819,00658M00:00:02.838,0657 23:18:41,734.88,,1
725307820,00658M00:00:03.811,0657 23:18:42,734.90,,1
725307821,00658M00:00:04.785,0657 23:18:43,734.88,,1
725307822,00658M00:00:05.758,0657 23:18:44,734.97,,1
725307823,00658M00:00:06.731,0657 23:18:45,734.91,,1
725307824,00658M00:00:07.704,0657 23:18:46,734.99,,1
725307825,00658M00:00:08.678,0657 23:18:47,734.91,,1
725307826,00658M00:00:09.651,0657 23:18:48,734.95,,1
725307827,00658M00:00:10.624,0657 23:18:49,734.95,,1
725307828,00658M00:00:11.597,0657 23:18:50,734.93,,1
725307829,00658M00:00:12.571,0657 23:18:51,734.91,,1
725307830,00658M00:00:13.544,0657 23:18:52,734.95,,1
725307831,00658M00:00:14.517,0657 23:18:53,734.91,,1
725307832,00658M00:00:15.490,0657 23:18:54,734.93,,1
725307833,00658M00:00:16.464,0657 23:18:55,734.93,,1
725307834,00658M00:00:17.437,0657 23:18:56,734.93,,1
725307835,00658M00:00:18.410,0657 23:18:57,734.93,,1
725307836,00658M00:00:19.383,0657 23:18:58,734.89,,1
725307837,00658M00:00:20.357,0657 23:18:59,734.91,,1
725307838,00658M00:00:21.330,0657 23:19:00,734.95,,1
725307839,00658M00:00:22.303,0657 23:19:01,734.95,,1
725307840,00658M00:00:23.276,0657 23:19:02,734.91,,1
725307841,00658M00:00:24.250,0657 23:19:02,734.91,,1
725307842,00658M00:00:25.223,0657 23:19:03,734.93,,1
725307843,00658M00:00:26.196,0657 23:19:04,734.93,,1
725307844,00658M00:00:27.169,0657 23:19:05,734.95,,1
725307845,00658M00:00:28.143,0657 23:19:06,734.91,,1
725307846,00658M00:00:29.116,0657 23:19:07,734.95,,1
725307847,00658M00:00:30.089,0657 23:19:08,734.91,,1
725307848,00658M00:00:31.062,0657 23:19:09,734.91,,1
725307849,00658M00:00:32.036,0657 23:19:10,734.91,,1
725307850,00658M00:00:33.009,0657 23:19:11,734.93,,1
725307851,00658M00:00:33.982,0657 23:19:12,734.93,,1
725307852,00658M00:00:34.955,0657 23:19:13,734.93,,1
725307853,00658M00:00:35.929,0657 23:19:14,734.96,,1
725307854,00658M00:00:36.902,0657 23:19:15,734.93,,1
725307855,00658M00:00:37.875,0657 23:19:16,734.91,,1
725307856,00658M00:00:38.848,0657 23:19:17,734.89,,1
725307857,00658M00:00:39.822,0657 23:19:18,735.00,,1
725307858,00658M00:00:40.795,0657 23:19:19,734.96,,1
725307859,00658M00:00:41.768,0657 23:19:20,734.93,,1
725307860,00658M00:00:42.741,0657 23:19:21,734.95,,1
725307861,00658M00:00:43.715,0657 23:19:22,734.93,,1
725307862,00658M00:00:44.688,0657 23:19:23,734.98,,1
725307863,00658M00:00:45.661,0657 23:19:24,734.91,,1
725307864,00658M00:00:46.634,0657 23:19:25,734.93,,1
725307865,00658M00:00:47.608,0657 23:19:26,734.98,,1
725307866,00658M00:00:48.581,0657 23:19:27,734.95,,1
725307867,00658M00:00:49.554,0657 23:19:28,734.98,,1
725307868,00658M00:00:50.527,0657 23:19:29,734.93,,1
725307869,00658M00:00:51.501,0657 23:19:30,734.95,,1
725307870,00658M00:00:52.474,0657 23:19:31,734.93,,1
725307871,00658M00:00:53.447,0657 23:19:32,734.95,,1
725307872,00658M00:00:54.420,0657 23:19:33,734.94,,1
725307873,00658M00:00:55.394,0657 23:19:34,734.96,,1
725307874,00658M00:00:56.367,0657 23:19:35,734.96,,1
725307875,00658M00:00:57.340,0657 23:19:36,734.98,,1
725307876,00658M00:00:58.313,0657 23:19:37,734.95,,1
725307877,00658M00:00:59.287,0657 23:19:38,734.96,,1
725307878,00658M00:01:00.260,0657 23:19:39,734.98,,1
725307879,00658M00:01:01.233,0657 23:19:39,734.93,,1
725307880,00658M00:01:02.206,0657 23:19:40,734.96,,1
725307881,00658M00:01:03.180,0657 23:19:41,734.98,,1
725307882,00658M00:01:04.153,0657 23:19:42,734.96,,1
725307883,00658M00:01:05.126,0657 23:19:43,734.98,,1
725307884,00658M00:01:06.099,0657 23:19:44,735.00,,1
725307885,00658M00:01:07.073,0657 23:19:45,734.95,,1
725307886,00658M00:01:08.046,0657 23:19:46,734.96,,1
725307887,00658M00:01:09.019,0657 23:19:47,734.96,,1
725307888,00658M00:01:09.992,0657 23:19:48,734.94,,1
725307889,00658M00:01:10.966,0657 23:19:49,735.00,,1
725307890,00658M00:01:11.939,0657 23:19:50,735.00,,1
725307891,00658M00:01:12.912,0657 23:19:51,734.98,,1
725307892,00658M00:01:13.885,0657 23:19:52,735.00,,1
725307893,00658M00:01:14.859,0657 23:19:53,735.03,,1
725307894,00658M00:01:15.832,0657 23:19:54,734.98,,1
725307895,00658M00:01:16.805,0657 23:19:55,735.00,,1
725307896,00658M00:01:17.778,0657 23:19:56,734.98,,1
725307897,00658M00:01:18.752,0657 23:19:57,734.98,,1
725307898,00658M00:01:19.725,0657 23:19:58,734.96,,1
725307899,00658M00:01:20.698,0657 23:19:59,735.00,,1
725307900,00658M00:01:21.671,0657 23:20:00,734.98,,1
725307901,00658M00:01:22.645,0657 23:20:01,734.98,,1
725307902,00658M00:01:23.618,0657 23:20:02,734.98,,1
725307903,00658M00:01:24.591,0657 23:20:03,735.03,,1
725307904,00658M00:01:25.564,0657 23:20:04,734.98,,1
725307905,00658M00:01:26.538,0657 23:20:05,734.98,,1
725307906,00658M00:01:27.511,0657 23:20:06,734.98,,1
725307907,00658M00:01:28.484,0657 23:20:07,734.98,,1
725307908,00658M00:01:29.457,0657 23:20:08,735.01,,1
725307909,00658M00:01:30.431,0657 23:20:09,735.01,,1
725307910,00658M00:01:31.404,0657 23:20:10,734.99,,1
725307911,00658M00:01:32.377,0657 23:20:11,734.94,,1
725307912,00658M00:01:33.350,0657 23:20:12,734.99,,1
725307913,00658M00:01:34.324,0657 23:20:13,734.99,,1
725307914,00658M00:01:35.297,0657 23:20:14,734.98,,1
725307915,00658M00:01:36.270,0657 23:20:15,734.98,,1
725307916,00658M00:01:37.243,0657 23:20:15,734.97,,1
725307917,00658M00:01:38.217,0657 23:20:16,734.97,,1
725307918,00658M00:01:39.190,0657 23:20:17,734.98,,1
725307919,00658M00:01:40.163,0657 23:20:18,734.97,,1
725307920,00658M00:01:41.136,0657 23:20:19,734.99,,1
725307921,00658M00:01:42.110,0657 23:20:20,735.03,,1
725307922,00658M00:01:43.083,0657 23:20:21,734.97,,1
725307923,00658M00:01:44.056,0657 23:20:22,734.97,,1
725307924,00658M00:01:45.029,0657 23:20:23,734.99,,1
725307925,00658M00:01:46.003,0657 23:20:24,734.99,,1
725307926,00658M00:01:46.976,0657 23:20:25,734.99,,1
725307927,00658M00:01:47.949,0657 23:20:26,734.99,,1
725307928,00658M00:01:48.922,0657 23:20:27,734.97,,1
725307929,00658M00:01:49.896,0657 23:20:28,735.01,,1
725307930,00658M00:01:50.869,0657 23:20:29,734.97,,1
725307931,00658M00:01:51.842,0657 23:20:30,735.01,,1
725307932,00658M00:01:52.815,0657 23:20:31,735.05,,1
725307933,00658M00:01:53.789,0657 23:20:32,734.99,,1
725307934,00658M00:01:54.762,0657 23:20:33,734.99,,1
725307935,00658M00:01:55.735,0657 23:20:34,734.94,,1
725307936,00658M00:01:56.708,0657 23:20:35,734.99,,1
725307937,00658M00:01:57.682,0657 23:20:36,735.01,,1
725307938,00658M00:01:58.655,0657 23:20:37,734.99,,1
725307939,00658M00:01:59.628,0657 23:20:38,734.97,,1
725307940,00658M00:02:00.602,0657 23:20:39,734.94,,1
725307941,00658M00:02:01.575,0657 23:20:40,734.97,,1
725307942,00658M00:02:02.548,0657 23:20:41,734.99,,1
725307943,00658M00:02:03.521,0657 23:20:42,734.99,,1
725307944,00658M00:02:04.495,0657 23:20:43,734.97,,1
725307945,00658M00:02:05.468,0657 23:20:44,734.97,,1
725307946,00658M00:02:06.441,0657 23:20:45,734.92,,1
725307947,00658M00:02:07.414,0657 23:20:46,735.01,,1
725307948,00658M00:02:08.388,0657 23:20:47,735.01,,1
725307949,00658M00:02:09.361,0657 23:20:48,734.99,,1
725307950,00658M00:02:10.334,0657 23:20:49,735.01,,1
725307951,00658M00:02:11.307,0657 23:20:50,734.99,,1
725307952,00658M00:02:12.281,0657 23:20:51,734.99,,1
725307953,00658M00:02:13.254,0657 23:20:52,734.99,,1
725307954,00658M00:02:14.227,0657 23:20:52,734.95,,1
725307955,00658M00:02:15.200,0657 23:20:53,734.99,,1
725307956,00658M00:02:16.174,0657 23:20:54,734.99,,1
725307957,00658M00:02:17.147,0657 23:20:55,734.97,,1
725307958,00658M00:02:18.120,0657 23:20:56,734.97,,1
725307959,00658M00:02:19.093,0657 23:20:57,735.01,,1
725307960,00658M00:02:20.067,0657 23:20:58,734.97,,1
725307961,00658M00:02:21.040,0657 23:20:59,734.99,,1
725307962,00658M00:02:22.013,0657 23:21:00,735.01,,1
725307963,00658M00:02:22.986,0657 23:21:01,735.01,,1
725307964,00658M00:02:23.960,0657 23:21:02,735.01,,1
725307965,00658M00:02:24.933,0657 23:21:03,734.97,,1
725307966,00658M00:02:25.906,0657 23:21:04,734.97,,1
725307967,00658M00:02:26.879,0657 23:21:05,735.04,,1
725307968,00658M00:02:27.853,0657 23:21:06,735.01,,1
725307969,00658M00:02:28.826,0657 23:21:07,735.03,,1
725307970,00658M00:02:29.799,0657 23:21:08,734.97,,1
725307971,00658M00:02:30.772,0657 23:21:09,734.99,,1
725307972,00658M00:02:31.746,0657 23:21:10,734.99,,1
725307973,00658M00:02:32.719,0657 23:21:11,735.04,,1
725307974,00658M00:02:33.692,0657 23:21:12,735.01,,1
725307975,00658M00:02:34.665,0657 23:21:13,735.04,,1
725307976,00658M00:02:35.639,0657 23:21:14,735.04,,1
725307977,00658M00:02:36.612,0657 23:21:15,734.95,,1
725307978,00658M00:02:37.585,0657 23:21:16,735.02,,1
725307979,00658M00:02:38.558,0657 23:21:17,735.04,,1
725307980,00658M00:02:39.532,0657 23:21:18,735.04,,1
725307981,00658M00:02:40.505,0657 23:21:19,735.04,,1
725307982,00658M00:02:41.478,0657 23:21:20,735.08,,1
725307983,00658M00:02:42.451,0657 23:21:21,735.01,,1
725307984,00658M00:02:43.425,0657 23:21:22,735.04,,1
725307985,00658M00:02:44.398,0657 23:21:23,735.08,,1
725307986,00658M00:02:45.371,0657 23:21:24,735.08,,1
725307987,00658M00:02:46.344,0657 23:21:25,735.04,,1
725307988,00658M00:02:47.318,0657 23:21:26,735.04,,1
725307989,00658M00:02:48.291,0657 23:21:27,735.04,,1
725307990,00658M00:02:49.264,0657 23:21:28,735.06,,1
725307991,00658M00:02:50.237,0657 23:21:29,735.04,,1
725307992,00658M00:02:51.211,0657 23:21:29,735.00,,1
725307993,00658M00:02:52.184,0657 23:21:30,735.06,,1
725307994,00658M00:02:53.157,0657 23:21:31,734.97,,1
725307995,00658M00:02:54.130,0657 23:21:32,735.02,,1
725307996,00658M00:02:55.104,0657 23:21:33,735.04,,1
725307997,00658M00:02:56.077,0657 23:21:34,735.09,,1
725307998,00658M00:02:57.050,0657 23:21:35,735.02,,1
725307999,00658M00:02:58.023,0657 23:21:36,735.04,,1
725308000,00658M00:02:58.997,0657 23:21:37,735.04,,1
725308001,00658M00:02:59.970,0657 23:21:38,735.06,,1
725308002,00658M00:03:00.943,0657 23:21:39,735.09,,1
725308003,00658M00:03:01.916,0657 23:21:40,735.04,,1
725308004,00658M00:03:02.890,0657 23:21:41,735.11,,1
725308005,00658M00:03:03.863,0657 23:21:42,735.06,,1
725308006,00658M00:03:04.836,0657 23:21:43,735.04,,1
725308007,00658M00:03:05.809,0657 23:21:44,735.02,,1
725308008,00658M00:03:06.783,0657 23:21:45,735.11,,1
725308009,00658M00:03:07.756,0657 23:21:46,735.09,,1
725308010,00658M00:03:08.729,0657 23:21:47,735.04,,1
725308011,00658M00:03:09.702,0657 23:21:48,735.08,,1
725308012,00658M00:03:10.676,0657 23:21:49,735.02,,1
725308013,00658M00:03:11.649,0657 23:21:50,735.09,,1
725308014,00658M00:03:12.622,0657 23:21:51,735.07,,1
725308015,00658M00:03:13.595,0657 23:21:52,735.11,,1
725308016,00658M00:03:14.569,0657 23:21:53,735.11,,1
725308017,00658M00:03:15.542,0657 23:21:54,735.11,,1
725308018,00658M00:03:16.515,0657 23:21:55,735.13,,1
725308019,00658M00:03:17.488,0657 23:21:56,735.09,,1
725308020,00658M00:03:18.462,0657 23:21:57,735.09,,1
725308021,00658M00:03:19.435,0657 23:21:58,735.11,,1
725308022,00658M00:03:20.408,0657 23:21:59,735.09,,1
725308023,00658M00:03:21.381,0657 23:22:00,735.11,,1
725308024,00658M00:03:22.355,0657 23:22:01,735.16,,1
725308025,00658M00:03:23.328,0657 23:22:02,735.14,,1
725308026,00658M00:03:24.301,0657 23:22:03,735.11,,1
725308027,00658M00:03:25.274,0657 23:22:04,735.11,,1
725308028,00658M00:03:26.248,0657 23:22:05,735.16,,1
725308029,00658M00:03:27.221,0657 23:22:05,735.16,,1
725308030,00658M00:03:28.194,0657 23:22:06,735.16,,1
725308031,00658M00:03:29.167,0657 23:22:07,735.14,,1
725308032,00658M00:03:30.141,0657 23:22:08,735.14,,1
725308033,00658M00:03:31.114,0657 23:22:09,735.11,,1
725308034,00658M00:03:32.087,0657 23:22:10,735.16,,1
725308035,00658M00:03:33.060,0657 23:22:11,735.18,,1
725308036,00658M00:03:34.034,0657 23:22:12,735.18,,1
725308037,00658M00:03:35.007,0657 23:22:13,735.18,,1
725308038,00658M00:03:35.980,0657 23:22:14,735.16,,1
725308039,00658M00:03:36.953,0657 23:22:15,735.20,,1
725308040,00658M00:03:37.927,0657 23:22:16,735.18,,1
725308041,00658M00:03:38.900,0657 23:22:17,735.14,,1
725308042,00658M00:03:39.873,0657 23:22:18,735.14,,1
725308043,00658M00:03:40.846,0657 23:22:19,735.22,,1
725308044,00658M00:03:41.820,0657 23:22:20,735.21,,1
725308045,00658M00:03:42.793,0657 23:22:21,735.20,,1
725308046,00658M00:03:43.766,0657 23:22:22,735.18,,1
725308047,00658M00:03:44.739,0657 23:22:23,735.18,,1
725308048,00658M00:03:45.713,0657 23:22:24,735.18,,1
725308049,00658M00:03:46.686,0657 23:22:25,735.18,,1
725308050,00658M00:03:47.659,0657 23:22:26,735.18,,1
725308051,00658M00:03:48.632,0657 23:22:27,735.19,,1
725308052,00658M00:03:49.606,0657 23:22:28,735.23,,1
725308053,00658M00:03:50.579,0657 23:22:29,735.21,,1
725308054,00658M00:03:51.552,0657 23:22:30,735.25,,1
725308055,00658M00:03:52.525,0657 23:22:31,735.25,,1
725308056,00658M00:03:53.499,0657 23:22:32,735.21,,1
725308057,00658M00:03:54.472,0657 23:22:33,735.25,,1
725308058,00658M00:03:55.445,0657 23:22:34,735.27,,1
