SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
683051235,00182M00:01:39.223,0182 00:16:25,713.46,,1
683051236,00182M00:01:40.196,0182 00:16:26,713.46,,1
683051237,00182M00:01:41.169,0182 00:16:27,713.51,,1
683051238,00182M00:01:42.142,0182 00:16:28,713.46,,1
683051239,00182M00:01:43.116,0182 00:16:29,713.50,,1
683051240,00182M00:01:44.089,0182 00:16:30,713.50,,1
683051241,00182M00:01:45.062,0182 00:16:31,713.50,,1
683051242,00182M00:01:46.035,0182 00:16:32,713.46,,1
683051243,00182M00:01:47.009,0182 00:16:33,713.48,,1
683051244,00182M00:01:47.982,0182 00:16:34,713.44,,1
683051245,00182M00:01:48.955,0182 00:16:35,713.42,,1
683051246,00182M00:01:49.928,0182 00:16:36,713.46,,1
683051247,00182M00:01:50.902,0182 00:16:37,713.44,,1
683051248,00182M00:01:51.875,0182 00:16:37,713.49,,1
683051249,00182M00:01:52.848,0182 00:16:38,713.49,,1
683051250,00182M00:01:53.821,0182 00:16:39,713.46,,1
683051251,00182M00:01:54.795,0182 00:16:40,713.46,,1
683051252,00182M00:01:55.768,0182 00:16:41,713.49,,1
683051253,00182M00:01:56.741,0182 00:16:42,713.44,,1
683051254,00182M00:01:57.714,0182 00:16:43,713.51,,1
683051255,00182M00:01:58.688,0182 00:16:44,713.48,,1
683051256,00182M00:01:59.661,0182 00:16:45,713.49,,1
683051257,00182M00:02:00.634,0182 00:16:46,713.47,,1
683051258,00182M00:02:01.607,0182 00:16:47,713.46,,1
683051259,00182M00:02:02.581,0182 00:16:48,713.51,,1
683051260,00182M00:02:03.554,0182 00:16:49,713.49,,1
683051261,00182M00:02:04.527,0182 00:16:50,713.47,,1
683051262,00182M00:02:05.500,0182 00:16:51,713.42,,1
683051263,00182M00:02:06.474,0182 00:16:52,713.45,,1
683051264,00182M00:02:07.447,0182 00:16:53,713.49,,1
683051265,00182M00:02:08.420,0182 00:16:54,713.44,,1
683051266,00182M00:02:09.393,0182 00:16:55,713.43,,1
683051267,00182M00:02:10.367,0182 00:16:56,713.47,,1
683051268,00182M00:02:11.340,0182 00:16:57,713.40,,1
683051269,00182M00:02:12.313,0182 00:16:58,713.49,,1
683051270,00182M00:02:13.286,0182 00:16:59,713.47,,1
683051271,00182M00:02:14.260,0182 00:17:00,713.45,,1
683051272,00182M00:02:15.233,0182 00:17:01,713.47,,1
683051273,00182M00:02:16.206,0182 00:17:02,713.44,,1
683051274,00182M00:02:17.179,0182 00:17:03,713.42,,1
683051275,00182M00:02:18.153,0182 00:17:04,713.47,,1
683051276,00182M00:02:19.126,0182 00:17:05,713.45,,1
683051277,00182M00:02:20.099,0182 00:17:06,713.42,,1
683051278,00182M00:02:21.072,0182 00:17:07,713.45,,1
683051279,00182M00:02:22.046,0182 00:17:08,713.47,,1
683051280,00182M00:02:23.019,0182 00:17:09,713.45,,1
683051281,00182M00:02:23.992,0182 00:17:10,713.47,,1
683051282,00182M00:02:24.965,0182 00:17:11,713.45,,1
683051283,00182M00:02:25.939,0182 00:17:12,713.45,,1
683051284,00182M00:02:26.912,0182 00:17:13,713.49,,1
683051285,00182M00:02:27.885,0182 00:17:14,713.41,,1
683051286,00182M00:02:28.858,0182 00:17:14,713.51,,1
683051287,00182M00:02:29.832,0182 00:17:15,713.49,,1
683051288,00182M00:02:30.805,0182 00:17:16,713.47,,1
