 445651033,"00543M00:00:55.712","00543 00:15:39",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.42,"011XX111", 109.16,"011XX110", 196.42,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.48, 198.84,  20.00,   28.70,   NULL,"     0X1","2H", 874.71,   3.60,"      11"
 445651034,"00543M00:00:56.686","00543 00:15:40",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.46,"011XX111", 107.83,"011XX110", 196.46,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.50, 198.86,  20.00,   28.82,   NULL,"     0X1","2H", 874.68,   3.60,"      11"
 445651035,"00543M00:00:57.659","00543 00:15:41",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.49,"011XX111", 106.45,"011XX110", 196.49,"   011XX1111",   0.01,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.79, 198.87,  20.00,   29.32,   NULL,"     0X1","2H", 874.68,   3.60,"      11"
 445651036,"00543M00:00:58.632","00543 00:15:42",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.53,"011XX111", 106.30,"011XX110", 196.53,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.42, 198.90,  20.00,   28.85,   NULL,"     0X1","2H", 874.62,   3.60,"      11"
 445651037,"00543M00:00:59.605","00543 00:15:43",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.56,"011XX111", 106.59,"011XX110", 196.56,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.35, 198.91,  20.00,   28.82,   NULL,"     0X1","2H", 874.63,   3.60,"      11"
 445651038,"00543M00:01:00.579","00543 00:15:44",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.60,"011XX111", 107.28,"011XX110", 196.60,"   011XX1111",   0.01,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.37, 198.93,  20.00,   28.91,   NULL,"     0X1","2H", 874.65,   3.60,"      11"
 445651039,"00543M00:01:01.552","00543 00:15:45",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.64,"011XX111", 108.36,"011XX110", 196.64,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.30, 198.95,  20.00,   28.88,   NULL,"     0X1","2H", 874.70,   3.60,"      11"
 445651040,"00543M00:01:02.525","00543 00:15:46",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.68,"011XX111", 109.73,"011XX110", 196.68,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.28, 198.96,  20.00,   28.93,   NULL,"     0X1","2H", 874.68,   3.60,"      11"
 445651041,"00543M00:01:03.498","00543 00:15:47",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.74,"111XX111", 125.78,"011XX110", 196.74,"   111XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.25, 198.98,  20.00,   28.96,   NULL,"     0X1","2H", 874.66,   3.60,"      11"
 445651042,"00543M00:01:04.472","00543 00:15:48",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.79,"111XX111", 126.63,"011XX110", 196.79,"   111XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.25, 198.99,  20.00,   29.03,   NULL,"     0X1","2H", 874.63,   3.60,"      11"
 445651043,"00543M00:01:05.445","00543 00:15:49",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.83,"111XX111", 127.40,"011XX110", 196.83,"   111XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.20, 199.01,  20.00,   29.02,   NULL,"     0X1","2H", 874.71,   3.60,"      11"
 445651044,"00543M00:01:06.418","00543 00:15:50",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.87,"111XX111", 128.00,"011XX110", 196.87,"   111XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.18, 199.03,  20.00,   29.06,   NULL,"     0X1","2H", 874.67,   3.60,"      11"
 445651045,"00543M00:01:07.391","00543 00:15:51",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.90,"111XX111", 128.37,"011XX110", 196.90,"   111XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.19, 199.04,  20.00,   29.15,   NULL,"     0X1","2H", 874.73,   3.60,"      11"
 445651046,"00543M00:01:08.365","00543 00:15:52",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.92,"111XX111", 128.56,"011XX110", 196.92,"   111XX1111",   0.00,   0.00,   0.01,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.09, 199.06,  20.00,   29.04,   NULL,"     0X1","2H", 874.75,   3.60,"      11"
 445651047,"00543M00:01:09.338","00543 00:15:53",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.94,"011XX111", 128.63,"011XX110", 196.94,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.09, 199.07,  20.00,   29.11,   NULL,"     0X1","2H", 874.74,   3.60,"      11"
 445651048,"00543M00:01:10.311","00543 00:15:54",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.95,"011XX111", 117.65,"011XX110", 196.95,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.11, 199.09,  20.00,   29.21,   NULL,"     0X1","2H", 874.68,   3.60,"      11"
 445651049,"00543M00:01:11.285","00543 00:15:55",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.94,"011XX111", 117.65,"011XX110", 196.94,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.05, 199.10,  20.00,   29.18,   NULL,"     0X1","2H", 874.74,   3.60,"      11"
 445651050,"00543M00:01:12.258","00543 00:15:56",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.91,"011XX111", 117.51,"011XX110", 196.91,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.03, 199.11,  20.00,   29.21,   NULL,"     0X1","2H", 874.72,   3.60,"      11"
 445651051,"00543M00:01:13.231","00543 00:15:57",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.88,"011XX111", 117.30,"011XX110", 196.88,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  17.97, 199.13,  20.00,   29.19,   NULL,"     0X1","2H", 874.68,   3.60,"      11"
 445651052,"00543M00:01:14.204","00543 00:15:58",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.84,"011XX111", 116.99,"011XX110", 196.84,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  18.03, 199.14,  20.00,   29.33,   NULL,"     0X1","2H", 874.69,   3.60,"      11"
 445651053,"00543M00:01:15.178","00543 00:15:59",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.79,"011XX111", 116.59,"011XX110", 196.79,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  17.92, 199.16,  20.00,   29.23,   NULL,"     0X1","2H", 874.70,   3.60,"      11"
 445651054,"00543M00:01:16.151","00543 00:16:00",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.73,"011XX111", 116.22,"011XX110", 196.73,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  17.97, 199.17,  20.00,   29.36,   NULL,"     0X1","2H", 874.66,   3.60,"      11"
 445651055,"00543M00:01:17.124","00543 00:16:01",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.67,"011XX111", 115.95,"011XX110", 196.67,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  17.91, 199.18,  20.00,   29.32,   NULL,"     0X1","2H", 874.73,   3.60,"      11"
 445651056,"00543M00:01:18.097","00543 00:16:02",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 196.61,"011XX111", 115.73,"011XX110", 196.61,"   011XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"   01110",  17.84, 199.20,  20.00,   29.28,   NULL,"     0X1","2H", 874.72,   3.60,"      11"
